,label,en_tweet,hebrew_tweet,bt_tweet
0,anger,"As for Jaitiru, the police can't handle the governor.Emangany the police don't join the police? &lt;i&gt;Don't get political. &lt;i&gt;Sergey settings, the governor right. &lt;i&gt;Mr. Senior's question about tradition.Perlik. Need patience. &lt;i&gt;[USERNAME] [URL]","באשר לג'אטירו, המשטרה לא יכולה להתמודד עם המושלת. אמנגני המשטרה לא מצטרפת למשטרה? השאלה של מר בכיר על מסורת. פרליק. צריך סבלנות. &lt;i&gt;&gt;סמלי הגדרות, המושל נכון. &lt;i&gt;i&gt;","Adapun Jaitiru, polisi tidak bisa menangani gubernur. Emangany polisi tidak bergabung dengan polisi? &lt;i&gt;Jangan berpolitik. &lt;i&gt;Perlik. Butuh kesabaran.&lt;/i&gt;[NAMA ARRY] [URL]"
1,anger,"You know, it's supposed to be the girls who have to be busy keeping busy, feeling the pain of menstruation, and the panic that comes home alone.","אתה יודע, זה אמור להיות הבנות מי צריך להיות עסוק עסוק, מרגיש את הכאב של וסת, והפאניקה שמגיעה הביתה לבד.","Kau tahu, itu seharusnya gadis-gadis yang harus sibuk tetap sibuk, merasa sakit menstruasi, dan panik yang pulang ke rumah sendirian."
2,happy,"Amad Photo from Google, deliberately, so that friends can imagine it, sharing it beautifully.","Amad Photo from Google, בכוונה, כך שחברים יכולים לדמיין את זה, שיתוף זה יפה.","Amad Photo dari Google, sengaja, sehingga teman-teman dapat membayangkannya, berbagi dengan indah."
3,anger,"Jatararu Street, part of Mr. Brother's territory. The jwb and jwb region settings and the gub.Dang are complicated, since gub2, first.Skrg is fixed,rfare all sides. Please think naturally, except your brains.","Jatararu Street, part of Mr. Brother's greatment. The jwb and jwb countics and the gub.Dang are complexed, since gub2, first.skrg is fiined, rfare all sides. אנא חשוב באופן טבעי, למעט המוח שלך.","Jataru Street, bagian dari wilayah Mr. Brother. jwb dan jwb pengaturan wilayah dan gub.Dang yang rumit, karena gub2, pertama.Srg tetap,rf adalah semua sisi. tolong pikirkan secara alami, kecuali otak Anda."
4,happy,"Share the experience, yesterday at 6: 00 p.m., canceling tickets at the market station senent, smooth, lined up not too lame, 15 minutes and all!","לחלוק את החוויה, אתמול בשעה 6: 00 בערב, ביטול כרטיסים בתחנת השוק סננט, חלק, בשורה לא עלוב מדי, 15 דקות וכל!","Berbagi pengalaman, kemarin pukul 6.00 sore, membatalkan tiket di stasiun pasar senent, halus, berbaris tidak terlalu lemah, 15 menit dan semua!"
5,anger,"Of all the threads I've read, this thread is the weirdest thing in writing, but I don't even know how to read a gun.","מכל החוטים שקראתי, החוט הזה הוא הדבר הכי מוזר בכתב, אבל אני אפילו לא יודע איך לקרוא אקדח.","Dari semua benang yang kubaca, benang ini adalah hal teraneh dalam tulisan, tapi aku bahkan tak tahu cara membaca pistol."
6,happy,"When you feel your problems are too heavy, our friend has a bigger problem than us, even our problems are nothing compared to his.","כשאתה מרגיש שהבעיות שלך כבדות מדי, לחבר שלנו יש בעיה גדולה יותר משלנו, אפילו הבעיות שלנו הן כלום לעומת שלו.","Bila Anda merasa problem Anda terlalu berat, teman kami memiliki problem yang lebih besar daripada kami, bahkan problem kami tidak ada apa - apanya dibandingkan dengannya."
7,sadness,"I told you, we didn't have a honeymoon in the first place.","אמרתי לך, לא היה לנו ירח דבש מלכתחילה.","Sudah kubilang, kita tidak berbulan madu sejak awal."
8,anger,"An example of those who liked to be cornered, scream the most tolerant but accusing, love to judge someone based on their version, enough to know.","דוגמא לאלו שאהבו להידחק לפינה, לצרוח הכי סובלני אבל מאשים, אהבה לשפוט מישהו בהתבסס על הגרסה שלהם, מספיק כדי לדעת.","Contoh dari mereka yang suka terpojok, berteriak yang paling toleran tapi menuduh, cinta untuk menilai seseorang berdasarkan versi mereka, cukup untuk tahu."
9,sadness,It's like you can't do anything at home before you go home.,זה כמו שאתה לא יכול לעשות שום דבר בבית לפני שאתה הולך הביתה.,Ini seperti Anda tidak bisa melakukan apa-apa di rumah sebelum Anda pulang.
