,label,tweet,en_tweet
0,anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]","As for Jaitiru, the police can't handle the governor.Emangany the police don't join the police? &lt;i&gt;Don't get political. &lt;i&gt;Sergey settings, the governor right. &lt;i&gt;Mr. Senior's question about tradition.Perlik. Need patience. &lt;i&gt;[USERNAME] [URL]"
1,anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.","You know, it's supposed to be the girls who have to be busy keeping busy, feeling the pain of menstruation, and the panic that comes home alone."
2,happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.","Amad Photo from Google, deliberately, so that friends can imagine it, sharing it beautifully."
3,anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]","Jatararu Street, part of Mr. Brother's territory. The jwb and jwb region settings and the gub.Dang are complicated, since gub2, first.Skrg is fixed,rfare all sides. Please think naturally, except your brains."
4,happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]","Share the experience, yesterday at 6: 00 p.m., canceling tickets at the market station senent, smooth, lined up not too lame, 15 minutes and all!"
5,anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.","Of all the threads I've read, this thread is the weirdest thing in writing, but I don't even know how to read a gun."
6,happy,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,"When you feel your problems are too heavy, our friend has a bigger problem than us, even our problems are nothing compared to his."
7,sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.","I told you, we didn't have a honeymoon in the first place."
8,anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.","An example of those who liked to be cornered, scream the most tolerant but accusing, love to judge someone based on their version, enough to know."
9,sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,It's like you can't do anything at home before you go home.
