,label,tweet
0,anger,"Adapun Jaitiru, polisi tidak bisa menangani gubernur. Emangany polisi tidak bergabung dengan polisi? &lt;i&gt;Jangan berpolitik. &lt;i&gt;Perlik. Butuh kesabaran.&lt;/i&gt;[NAMA ARRY] [URL]"
1,anger,"Kau tahu, itu seharusnya gadis-gadis yang harus sibuk tetap sibuk, merasa sakit menstruasi, dan panik yang pulang ke rumah sendirian."
2,happy,"Amad Photo dari Google, sengaja, sehingga teman-teman dapat membayangkannya, berbagi dengan indah."
3,anger,"Jataru Street, bagian dari wilayah Mr. Brother. jwb dan jwb pengaturan wilayah dan gub.Dang yang rumit, karena gub2, pertama.Srg tetap,rf adalah semua sisi. tolong pikirkan secara alami, kecuali otak Anda."
4,happy,"Berbagi pengalaman, kemarin pukul 6.00 sore, membatalkan tiket di stasiun pasar senent, halus, berbaris tidak terlalu lemah, 15 menit dan semua!"
5,anger,"Dari semua benang yang kubaca, benang ini adalah hal teraneh dalam tulisan, tapi aku bahkan tak tahu cara membaca pistol."
6,happy,"Bila Anda merasa problem Anda terlalu berat, teman kami memiliki problem yang lebih besar daripada kami, bahkan problem kami tidak ada apa - apanya dibandingkan dengannya."
7,sadness,"Sudah kubilang, kita tidak berbulan madu sejak awal."
8,anger,"Contoh dari mereka yang suka terpojok, berteriak yang paling toleran tapi menuduh, cinta untuk menilai seseorang berdasarkan versi mereka, cukup untuk tahu."
9,sadness,Ini seperti Anda tidak bisa melakukan apa-apa di rumah sebelum Anda pulang.
10,anger,"Itu benar Min Indonesia orang sekarang berharap untuk hidup dengan TNI, jika yang lain melihatnya, itu jelas serangan terhadap kantor media, mengatakan tidak ada elemen kriminal, jelas menghina presiden Indonesia yang sah, hanya lucu, #TNI [URL]"
11,anger,"Bahkan jika penggemar menjual gambar mereka, uang berjalan ke berhala juga."
12,happy,"Jadi bersyukur bisa berdoa untuk kakeknya, Karno Man, bersama dengan anak yatim piatu. #Moon Carno #JuniNarnoQarno #Connecter Indonesia's People #nomor2 untuk tim #jatums supelpulputi #KabehSedterKaakmur [NAMA AS]"
13,sadness,"Sulit untuk menerima kenyataan bahwa ada beberapa orang yang berpikir bahwa ketika kita berinteraksi dengan satu kelompok tertentu, kita langsung mengatakan kelas tertentu untuk sesaat tanpa kita mempelajarinya utuh dan mengklaim diri kita menjadi orang yang tepat."
14,anger,"Tidak ada yang mencuri, tidak ada yang meniduri anjing, tidak ada siluman monyet."
15,anger,Saya juga ingin membaca komentar netizen yang paling otentik.
16,love,"Setiap kesempatan yang pernah Anda untuk dapat membuat Anda merasa aman dan nyaman, sekarang itu adalah kehormatan yang pernah Anda miliki."
17,anger,"Ada baiknya bahwa Anda tidak tidur di tempat tidur saya, saya tidur Anda tidur dengan apa yang Anda akan menjadi."
18,happy,H-9. aku akan pergi ke Rame Bank di mana kursi di luar toko emas tampaknya tidak menjual.
19,anger,"Negara ini benar-benar hancur oleh amatir, tapi [NAMA BERKAS] tidak mengindahkan pernyataannya sendiri?"
20,anger,Hal ini telah dijelaskan berkali-kali selama itu tidak diatur.
21,sadness,"Setengah hati cemburu melihat seorang anak masih duduk atau berjalan dengan ibunya, dan setengah hati membantu melihat seorang anak begitu bermasalah ketika ibunya sakit."
22,happy,"Ketika aku tersenyum, itu tidak berarti bahwa hidupku sempurna. aku hanya bersyukur atas apa yang aku miliki dan apa yang Tuhan berikan padaku."
23,sadness,"dari tidur, untuk tidur, untuk tidak sedih, seperti itu aneh .. tidak berpikir tentang hal itu."
24,love,Aku akan memegang erat-erat sampai tidak ada yang bisa merebut Anda dari lengan saya Happy Anniversary Sig #6nov #31 bulan
25,anger,"Jika kau ingin mengganti presiden, kau harus menjelaskan siapa kandidatnya."
26,happy,"Hal ini sangat keren dengan kualitas no.1, bhn Krja, itu tujuan saya untuk mendapatkan warisan untuk cu2, keberhasilan tim bbpjn6 barokah"
27,anger,"Aku akan lulus dua kali, jadi jangan lupa untuk belajar, dan jika itu tidak perlu, maka ada lebih banyak dosa daripada hati orang lain sakit."
28,anger,Bagaimana bisa seseorang tidak menghargai hijab/syari. kadang-kadang geez s satu di kelas bae eh dalam kelompok WA bisa disadap ke harness sosial.
29,fear,"Presentasi prom hari ini adalah karena praktek, jadi ketua menemani Sekretaris 1, tapi aku bertanggung jawab sekretaris 2, jadi deg deg deg ini."
30,anger,Foto saya ada di sebuah instagram masih lupa password instan sehingga tidak dapat dibuka! Ini pasti kesalahan pemerintah dan instagram Mengapa Anda menggunakan semua password!
31,fear,"Drama sore: berpuasa sepanjang hari dan kemudian di kamar mandi, terkejut oleh kedatangan tamu tak diundang pada menit terakhir ketika adzan maghrib dan kemudian di tengah hari itu dianggap legal untuk berpuasa."
32,sadness,"Ini benar-benar sulit untuk mencintai Anda, putus dengan Anda, apalagi."
33,anger,"Empat tahun setelah mereka mengirim dia kembali, kurir menelepon dan menyuruhnya untuk membawanya ke alamat yang benar."
34,happy,"Pada akhirnya, kita akan melalui semua ini, segala sesuatu yang kita gunakan untuk membayangkan betapa sulitnya untuk pergi melalui, dan pada akhirnya kita hanya bisa belajar, belajar, dan belajar, memilih semua pelajaran yang dapat kita pelajari, mempersiapkan diri untuk masa depan."
35,love,"Karena kenyamanan berada di rumah, Anda bisa menjadi apa saja, Anda selalu pulang kepada mereka."
36,fear,"Ya, aku tahu bahwa sakit hati itu sulit, tapi ada saat-saat ketika itu di garis depan."
37,happy,Kelas 4: saya menonton video TV tutoring + kerajinan @ YouTube. saya telah membaca novel-novel Klan T. &amp Mira W. Minjem punya sepupu
38,happy,"Beberapa tahun kemudian, kesejahteraan keluarga ibu meningkat, sampai suaminya mencapai tingkat yang tinggi, tidak memahami status TNI, ia hidup dengan baik."
